seed,split,rows,sentiment_positive_rate,sarcasm_positive_rate
2026,train,4701,0.4937247394171453,0.18506700701978301
2026,validation,830,0.4951807228915663,0.1855421686746988
2027,train,4701,0.4937247394171453,0.18527972771750692
2027,validation,830,0.4951807228915663,0.18433734939759036
2028,train,4701,0.4937247394171453,0.18527972771750692
2028,validation,830,0.4951807228915663,0.18433734939759036
2029,train,4701,0.4937247394171453,0.18527972771750692
2029,validation,830,0.4951807228915663,0.18433734939759036
2030,train,4701,0.4937247394171453,0.18527972771750692
2030,validation,830,0.4951807228915663,0.18433734939759036
